entity,count
Deutschland,84
Afrikaner,74
Europa,70
Afrika,67
Chinesen,57
Ukraine,48
Schweiz,45
Russland,40
Großbritannien,38
Inder,38
Amerikaner,35
China,32
Stadt,30
Russen,25
USA,24
Araber,24
Türken,24
Italiener,22
Mittelmeer,22
Amerika,21
Erde,20
Briten,19
Israel,19
Rumänen,19
Landes,18
Indien,17
der Schweiz,16
Polen,15
Italien,15
den USA,15
London,14
US,14
England,14
Pakistaner,14
Franzosen,12
Türke,12
Japaner,12
Vereinigte Königreich,12
Lesbos,12
Saudi Arabien,12
Frankreich,11
Vereinigten Königreich,10
Türkei,10
Ungarn,9
Mexiko,9
Österreich,9
Corona,9
Brite,9
Vereinigten Staaten,9
Paraguay,8
Iran,8
Amerikas,8
Australien,7
Arabern,7
Niger,7
Schweden,7
Afghane,7
Schwarzen,6
Europäern,6
STELLEN,6
Balkan,6
Afrikanern,6
Japan,6
Bulgarien,5
Katar,5
Chinese,5
Chinas,5
Syrien,5
Palästina,5
Paris,5
Asien,5
Spanier,5
Pakistan,5
Europas,5
Kanada,5
Koreaner,5
Deutschlands,4
Rumänien,4
New Yorker,4
Pole,4
Nieder,4
Belgien,4
afrikanischen Kontinentes,4
Bern,4
München,4
Pakistani,4
Iren,4
Spanien,4
Wogs,4
Berlin,4
Europäer,4
Japanern,4
Südamerika,4
asiatischen Kontinents,4
Sahara,3
stinkende unterschicht,3
Schweizern,3
Afghanistan,3
Chinesin,3
Subsahara,3
Belarus,3
Peking,3
Hollywood,3
Kosovo,3
Paraguayer,3
Syrer,3
Österreicher,3
Libanon,3
Moskau,3
herd,3
Roma,3
Kanadier,3
Lesben,3
Tunesien,3
Spanierin,3
Taiwan,3
Staaten,3
Koshies,3
Kenia,3
Kiew,3
Amerikanern,3
Engländer,3
Kongo,3
Brooklyn,3
Korea,3
britische Regierung,3
Eritrea,3
Orangutans,3
Judensterne,3
Transen,3
Kamen,2
DC,2
Spaghettifresser,2
aaah,2
N gger,2
Istanbul,2
Union,2
Fahrende wie z B,2
Albaner,2
Basel,2
Ire,2
Dubai,2
Schwule,2
Dortmund,2
Russische Reich,2
Lmao,2
Oder,2
Frankfurt,2
Kurden,2
Migrantengemeinschaft,2
Perlentore,2
Dänemark,2
Ukrainerinnen,2
Trisonomie,2
Moria,2
Kanaaniter,2
Armenien,2
Ägypten,2
CT,2
Fussballnati,2
Edomiter,2
Caf s,2
Geschlechtswechsel,2
Covid,2
Bosnien,2
Kanton Thurgau,2
Engländerin,2
Finnland,2
Serbien,2
Serben,2
Atlantik,2
