entity,count
Trump,23
Sohn,22
Schwarze,18
Hitler,18
Teufel,15
Bill Gates,11
Covid,11
Jesus,10
Ehrlich,10
Mongos,9
Gott,9
Corona,8
Liebe,8
Ernst,8
Xhaka,6
Sohnes,6
Zurückgebliebene,6
Pajeets,6
Pakis,6
Gönnt,5
Du,5
Johnson,5
Putin,5
Weiss,5
Merkel,4
Koshies,4
Islam,4
Barbie,4
Bleib,4
Merz,4
z B,4
Mike Pence,4
Zigeunerspiess,3
Obama,3
John Oliver,3
Siddhartha Gautama,3
Donald Trump,3
Niggas,3
Drecksäcke,3
Widder,3
Satan,3
Djokovic,3
Lieber,3
Gates,3
Erdogan,3
Adam,3
Mann,3
Allah,3
Behinderte,3
verdammt,3
Elliot Page,3
Ramadan,3
Spass,3
Pocahontas,3
Ähm,3
Hamilton,3
Ragheads,3
Ching Chongs,3
Weiße,3
Stalin,3
Bruder,3
Prinz Harry,3
Musk,3
Einfach,3
Gross,3
Lol,3
Zigeuner,3
Tom,3
Undokumentierte,2
Ali Babas,2
Behindert,2
Adolf,2
Adolf Hitler,2
Melnyk,2
Gongo Sambi,2
Bl,2
Marriam Webster,2
Bruh,2
trrassssshhh traaaaannns,2
Mohammed,2
Rishi Sunak,2
AntiVax,2
Mein Jugo Nachbar,2
Mein Arbeitskolleg,2
Hoffentlich,2
Stalingrads,2
Ching Chong,2
Hispanoamerikaner,2
Josef Stalin,2
MrMoudz,2
Hitlers,2
Embolo,2
Nunchakus,2
Rea Garvey,2
cool,2
Anne Franks,2
Meinetwegen,2
Elvis,2
Jugos,2
Peter,2
ern,2
Tom Jerry,2
Jids,2
David,2
Voll,2
Porajmos,2
Kamala Harris,2
Macronisten,2
Flugzeugtickets,2
Mein Adoptivbruder,2
Viktor Orb,2
Alles,2
Louise du bist,2
Diä Spaniöggel,2
Eva,2
Brexit,2
Lewis,2
Hey,2
Chastain,2
Klimaaktivisten,2
Drag Queen,2
hmu,2
Knöchel,2
Jerry Tom,2
Zach,2
Just saying,2
Behindis,2
Queeeeeeers,2
Jesus Christus,2
oh Mann,2
Niggers,2
Zeman,2
Müll,2
Wen,2
Liliputaner,2
Sam Nunberg,2
Engel,2
Ping,2
Pong,2
Thor,2
Mein Bruder,2
Hey Bro,2
Beschissene,2
Turnen,2
Turkman Yazidis,2
subhummmmmman,2
Wogs,2
Ellen Page,2
Ne,2
Geringeverdiener,2
Na,2
Nigger,2
Ahmed,2
Gute,2
Gummihälse,2
Boris Johnson,2
Hass,2
Heult,2
Schrecklich,2
Kamelknacker,2
Urgh,2
George Pickett,2
Malcom,2
Darwin,2
Ha Jemand,2
Buddhistinnen,2
Kameljockeys,2
Jara,1
Mr Ball Legs,1
Heirate,1
danke,1
Brown,1
Mussies,1
Goliad,1
Wommennnnnn,1
Questlove,1
Stite,1
George Patton,1
Weinstein,1
Angus,1
Kippas,1
Makgeolli,1
Wütend Ich,1
Igitt,1
Beeinträchtigte,1
Onlyfans,1
Lololol,1
Brittons,1
Boooaaah,1
Pe,1
Ex,1
Sandschimpansen,1
Lamar,1
Mrs Eriksson,1
Rainer Wahnsinn,1
Uncharted,1
Mong,1
Elfriede Jelinek,1
Ruru,1
Peter worüber,1
du zurücktrittst,1
Justin wenn du,1
Bombenbauer,1
Maguire,1
blonden Haaren,1
Joels Ohr,1
Kameljungen,1
Bluffer,1
Ungeimpfte,1
Linksdrehende,1
Austin,1
Leberwürste,1
Hans Viel Spass,1
McGrath,1
Spaghettifresser hahahaah,1
Sankt Meghan,1
George Floyd,1
Herzlichen Glückwunsch,1
Fr LAMBRECHT,1
Erhängt,1
Gennadi Borissow,1
Price,1
Prinz George,1
Ahabs,1
Kadyrov,1
Flip Flops,1
Reid,1
Mannozid,1
Handgestrickter Feminismus Bettle,1
Seb,1
Jens Jessen,1
Novak,1
Tommy Robinson,1
lol sieh dir,1
trrassssshhh chhhhinesisch,1
Lola,1
Bernie,1
Krüppel,1
Kanneh Mason,1
Jones,1
Dränge,1
Value,1
Button,1
fesselnd,1
Gloucester,1
Barber,1
Ching Chong China,1
Heraklit,1
Wütende feminazi,1
Mischna Niddah,1
Zion Williamson,1
terrrrrrrible chhhhinesisch,1
hahahahah,1
War,1
Frau Neumann,1
Silvio Berlusconi,1
Ren Benzin,1
Badm mzjay,1
mmmmmmmusssssslims r coooooool,1
Shaq,1
Hermelinda,1
Wolodymyr Selenskyj,1
Chappelle,1
Osama bin Laden,1
Selenskyj,1
Stas,1
Fascho,1
Alessandro Michele,1
Jeremy,1
woooooooooman trrassssshhh,1
Pferdegebiss,1
Haberman,1
Mischlingsmüll,1
Laura Chico,1
Sagt,1
Bewerbungs Interviewprozess,1
aka Deezel,1
Bidens Wahl,1
Hashimoto,1
Jeff Bezos,1
Lyokha,1
Laura,1
Arbeitsaktivist,1
Christen,1
Mayo,1
Noah,1
ahahah,1
Almir,1
Shaheen,1
Bernard Samson,1
Priti Patel,1
James,1
woke,1
Khodarenok,1
Pritchard,1
Nigga,1
Horner,1
Kenneth Pinyans,1
Biden,1
Keys,1
Sophie,1
Mesoamerika,1
Blinken,1
Lady Dimitrescu,1
Barneys,1
Jähriger von somalischem Flüchtling,1
Meine Pocke,1
Mohammeds,1
Nigars,1
Daves,1
Gramm,1
Steve Jobs,1
Sanchez,1
ähm nein danke,1
Yo,1
Pfui Schwänze,1
Abweisendes,1
Mami,1
Fr Husseyin,1
Verpiss,1
Raj,1
Holt,1
Chad,1
Russell,1
Mangold,1
Kubernetes,1
Dinklage,1
uns Raysus,1
Loser Gaylord,1
Camilla,1
Benzos,1
Sparen,1
Wladimir Putin,1
Scott Queer,1
Handtuchkopf,1
Moloch,1
Complotists,1
Mozart,1
Abweichler,1
Edinson Cavani,1
Rangnick,1
Sergio Assad,1
Chacarera,1
trrrrrrrassssshhh Abbbbbfaalllll,1
Hugh Grant,1
Richard Curtis,1
Elizabeth,1
Vic,1
Churchill,1
Meine Cousine,1
Xherdan Granit,1
Marie Stopes,1
Ch vez D az,1
Conor Finnegan,1
Milo,1
Meghan Markle,1
Schlumberger,1
diiiiiiirt chhhhinese,1
Erwin Tobing,1
Weihnachtsflitter,1
Zhou,1
Steve,1
Neitzels,1
Abramowitsch,1
Scott Greer,1
vornehmich Schwarze,1
Sarah,1
Maurice B jart,1
Simon Pegg,1
Nigga Energie,1
Bauernspeck,1
Bünzlis,1
Thomas von Villanova,1
Tory W nkers,1
Sugarbabes,1
kniet,1
Abdul Warum,1
Netto Negativsteuerbeiträge,1
Dicken,1
Konaschu,1
Huber Petersen,1
Grant Shapps,1
trrrrrrrassssshhh Schwarze,1
Vordermann,1
Adam von Eva,1
John Cranko,1
Lyroton,1
Ritter Habemus,1
Arnt,1
Wasyl Bodnar,1
Fenerbahces,1
Kognitiv,1
Big Cap Technologiewerten,1
Omikrons,1
Angela Merkel,1
Gilberts,1
Basta,1
Herr Spitzgagu,1
Rationalismus,1
Golfcarts,1
Weltglückstag,1
Massenbuhen,1
knien da,1
Unheil,1
Chadari,1
ugh,1
Brillanz,1
bllllllokkk,1
Abscheulicheres,1
Battista,1
Marquis de Sade,1
Mick,1
Lezzas,1
Tschüss,1
nigs,1
Sarah Pete Evans,1
Gardner,1
Verstädnis,1
Generationsübergreifendes,1
Gegenwindes,1
Abfall,1
Lily Vlogs,1
Irena,1
Querschwurbelnazis,1
trrrrrrrassssshhh wwwwwwwommmmmmmen,1
Stein,1
Vendor ID,1
Hill,1
Waddel,1
Biryanis,1
Dr Who,1
Baras,1
Bringen,1
Medwedew,1
Dovizioso,1
Goethe,1
hundertpro,1
Jessica Biel,1
Justin Timberlake,1
Doy,1
Blödsinniges,1
Schütze,1
Sohn hinunterbeugt,1
Anm d Red,1
Süleyman Soylu,1
Familie Neumann,1
Unhöflicheres,1
Nie,1
Mein Cousin,1
subhummmman,1
Putins,1
Jeffrey Esptein,1
Mama Maye,1
Rey,1
Nur Judensterne,1
Gavin Collins,1
Craig Erwich,1
Louis Vuitton,1
Polina,1
nich,1
Asuexelle,1
Chilomys,1
Jorge Brito,1
Felix,1
Grant Williams,1
Einwander,1
Hypothekenbesicherte Wertpapiere,1
Carlos,1
Christian,1
Kaili,1
Jessica Harvey,1
Mannilein,1
Anudda Shoah,1
Bennetts,1
Nächstenlieben,1
Colin Kaepernick,1
Oder,1
Chaimowicz,1
Zoom,1
Wahrheitstee Jungfrau,1
