entity,count
Deutschland,337
Europa,89
Türken,66
Israel,64
Türkei,63
Berlin,46
LBR,39
Österreich,31
Syrien,29
Jamaika,27
Afrika,26
USA,25
Ungarn,22
BRD,21
Bayern,21
Polen,20
Deutschlands,19
Russland,19
Afghanistan,18
Jerusalem,17
Europas,16
Bonn,15
NRW,15
Staaten,15
Frankreich,14
Iran,13
Afrikaner,13
Köln,12
Maas,12
Union,11
München,11
Auswärtige Amt,11
Landes,10
Israels,10
PL,9
Altena,9
Hamburg,9
Österreicher,9
Italien,9
Frankfurt,9
England,9
Leipzig,8
China,8
Manila,8
Arsch,8
Europäer,8
US,8
Brüssel,8
Brandenburger Tor,8
Auschwitz,7
Palästina,7
BVerfG,7
DE,7
Düsseldorf,7
den USA,7
Breitscheidplatz,7
Mecklenburger,7
Dresden,7
Dachau,6
Wien,6
Schland,6
Amerika,6
Krim,6
Szczecin,6
Leyen,6
Incirlik,6
Spanien,6
Afrin,6
Dortmund,5
Bund,5
Nürnberg,5
Ägypten,5
Katalonien,5
Auswärtigen Amt,5
Jemen,5
Niedersachsen,5
Ukraine,5
Kurden,5
Araber,5
Stadt,5
BKA,5
Italiener,5
Anatolien,5
maischberger,5
Mannheim,5
BER,5
Hessen,5
Nordkorea,5
Arabern,4
Mecklenburg,4
Schleswig,4
Bin,4
Niederlande,4
Kandel,4
Barcelona,4
Chinesen,4
Mossul,4
Tschechien,4
Türke,4
TVDuell,4
Tschechen,4
Belgien,4
Japaner,4
Vereinigten Staaten,4
Saudi Arabien,4
Syrer,4
Auswärtigen Amtes,3
Finnland,3
Sachsen,3
Erde,3
Myanmar,3
Nigeria,3
Japan,3
Mexiko,3
Schweiz,3
Neumünster,3
Washington,3
Koeln,3
London,3
Freiburg,3
Polens,3
Tübingen,3
Raus,3
Dir,3
Antifantenbrut,3
Irak,3
Australien,3
Amerikaner,3
LG,3
Afghanen,3
Ruhrpott,3
Griechenland,3
Republik,3
Vatikan,3
Römer,3
Schwerin,3
Schweden,3
Manchester,3
FarbenBekennen,3
Sachsens,3
Majak,3
Rumänen,2
TagderDeutschenEinheit,2
Filipinos,2
Bundesverfassungsgericht,2
Leiden,2
Barmbek,2
Shithole,2
Marokko,2
islamischen Staaten,2
Gazastreifen,2
illner,2
Duisburg,2
Dtl,2
HH,2
Melbourne,2
followerpower,2
Freitagsgebet,2
Stuttgart,2
Jordanien,2
Mallorca,2
Pforzheim,2
Du,2
Neger,2
Bundesbürger,2
Mark Brandenburg,2
Rom,2
Ach,2
Neuhinzugekommenen,2
Deutschtürken,2
US Ostküste,2
Systemlinge,2
Tempelberg,2
Malente,2
Ostholstein,2
Moslems,2
Bundesrepublik,2
Südsudan,2
Bundes,2
Russen,2
dietmar,2
Wittenberg,2
NEUWAHLEN,2
Israelis,2
davongejagt,2
A H,2
Gab s,2
Haifa,2
Dublin,2
Goslar,2
Engländer,2
Preußen,2
Kurde,2
Holland,2
Pfaffen,2
Tunesien,2
FR,2
hause,2
Münster,2
Sahara,2
deutschen Staat,2
Kanada,2
UK,2
BOLSCHEWISMUS,2
Manhattan,2
Wissen,2
Cuxhaven,2
BERUFSLÜGNER,2
Westerwald,2
Slowenien,2
der Schweiz,2
Somalia,2
Ao,2
Rostock,2
Saarland,2
Kongo,2
Palästinenser,2
Magdeburg,2
Brüsseler,2
Hindukusch,2
Na,2
Levante,2
Hannover,2
aksynode aksynode,2
Nööö,2
Kroatien,2
Liebfrauendom,2
Landshut,2
Sultanat,2
Dom,2
Rhein,2
Bangladesch,2
Mainz,2
Bauchpinselei,1
Bulgaren,1
Untere,1
Asylantenpack,1
Asylantenschmarotzer,1
Wasserglas Spahn,1
LaferLichterLuther,1
folgendessen,1
Klein Istambul,1
New Yorker,1
bätschi,1
Kuscheljutiz,1
Solis,1
Aceh,1
Graf von,1
Taqiyya,1
Muselmänner,1
Talmud Sohar,1
Chaos im Lande,1
Gehts,1
Verfassungsvoraussetzungen,1
verbraucherfalle,1
Atheistenstaat,1
Sex LBR,1
afdWuergt,1
Neusiedler,1
St Augustin,1
Hohenpriesterinnen,1
Schorfheide,1
Modelbranche,1
AlNour Moschee,1
Manila Besuchervisa,1
Kreis der Familie,1
Heiliges Land,1
Verhüllen des Gesichts,1
Freiburg Lemberg,1
Rumänien,1
Nürburgring,1
Geschwiegen,1
Koreanern,1
deMaiziere,1
Festung EU,1
Land der Freiheit,1
Lemmingen,1
Auswärtigen Amter,1
Kalifornien,1
Frankfurt Main,1
Marokkaner,1
Ben,1
DidYouKnow,1
Menschensammlungen,1
BRDGmbH,1
Sozialprinzipien,1
Roten Rathaus,1
Neuseeland,1
Libanon,1
Unser Land,1
Ausgangsländern,1
deutsche Staat,1
dran denken Du,1
Memel,1
JamaikaKoalition,1
Etsch,1
Bio Bauernhof,1
Belt LBR,1
Qual,1
Israeli,1
s Rechtschreibkorrekturverfälschungsmistprogramm,1
Verbrecherorga,1
Niederlanden Schweiz,1
Kloster Nütschau,1
Preis Leuchtturm des Nordens,1
Hooton Plan,1
Vertrauensranking,1
Scheußlich Dämonenhaft,1
Chanukkia,1
Altena LBR,1
KristinaHänel,1
NTv,1
falldermauer,1
Leuchtturm der Freiheit inmitten islamischer Barbarei,1
Haiti,1
Kommt,1
d ehemal Grenzübergangseinrichtungen,1
Ichnicht,1
Linkenwählerin,1
Szczeciner,1
Flughafen,1
EROBERER,1
ute hoffe,1
Pole,1
briten,1
Portugal,1
Amerikanern,1
Szczeciner Rathaus,1
Schöner Wohnen,1
Danke,1
Jerusalems,1
Hab gerade N,1
LINKEBPT,1
Indern,1
Landgericht Berlin,1
Landeszerstörerin A,1
Lügendämonen,1
Gucken,1
Und der Chem,1
Löwen,1
Blablablabla,1
Nazimedien,1
Kuenast,1
LBR Paß au Dich,1
Dummbacke,1
Kent,1
jüdischen Staates Israel,1
heiko,1
Lel,1
Kinderfickerparteien,1
Welt N,1
Regimentsstärke,1
Zuwanderungsfragen,1
Niederlanden,1
Flugzeuglandungen,1
St Martin,1
Gewirz LBR,1
TagX,1
Kotzkrämpfe,1
Halt Vollnieten,1
auseinanderstrebenden teile der partei,1
Katalanen,1
Bremen,1
Drecksstück,1
Frankfurts,1
hmmmmmmmmm,1
Spast,1
Südländer,1
Oberhäuptling,1
Zig,1
Eifel,1
Piesteritz,1
Keller,1
Äther,1
PK,1
LBR No,1
Newsvalue,1
Bringts,1
Nigerianer,1
Hallooooooo seid Ihr,1
Nordhäuser,1
Europäern,1
Rakhaing Myanmar,1
Bundesstaat,1
D F,1
SayNoToTerror,1
Augenwischerei,1
Schriesheim,1
Regierungspräsidium,1
Oder,1
Flughafen Bahnhof,1
Bielefeld Pit Clausen,1
Konzentrationslager Oksadok,1
Verantwortl,1
IS,1
Kriminalitätsbelasteter Ort Oder,1
MAZYEK,1
eig Land,1
Dom von Uppsala,1
G Gipfel,1
