entity,count
LBR,525
SPD,288
AfD,123
CDU,97
EU,92
Bundestag,64
FDP,55
CSU,51
OTHER OTHER,50
OFFENSE,49
Grünen,40
WDR,39
DDR,37
GroKo,34
ARD,34
ZDF,32
Stasi,31
CL,30
ABUSE,28
Grüne,26
die Grünen,25
NPD,25
Kirche,25
IS,22
SED,22
TN,21
Partei,20
SCHMAROTZER,17
NSU,17
DENUNZIANTEN,14
fxn,13
Bundeswehr,11
HamburgPride,11
TBB,11
NATO,10
Jusos,9
RTL,9
EKD,9
NEBA,9
Union,8
BRD,8
LBR AFD,8
BKA,8
Antisemiten,8
Linken,7
DEUTSCHLAND,7
Islam,7
Hamas,7
Hab,7
Linke,7
MIT,6
LSVD,6
FB,6
LBR MeToo,6
Bayer,5
DILK,5
Finanzkommission,5
Faschismus,5
SS,5
UN,5
BStU,5
Sozialdemokraten,5
Parlament,5
NS,5
ern,5
den Grünen,4
BILD,4
MDR,4
CIA,4
BW,4
LBR Deutschland,4
BMI,4
Deutschen Volk,4
Nahles,4
NIE,4
Bundestages,4
DE,4
Antisemitismus,4
RU,4
SPDler,4
GG,4
BT,4
Demokraten,4
illner,4
FDJ,4
Reichsbürger,4
ORF,4
GEZ,4
ISIS,3
ÖR Medien,3
DEUTSCHE,3
LBR Drum,3
taff,3
DEUTSCHEN,3
Synodalvertretung,3
TL,3
KGE,3
Hamburg Pride,3
MSM,3
PL,3
BTW,3
Phoenix,3
UNESCO,3
TVDuell,3
Westbank,3
Nazi,3
MERKEL,3
LBR Berlin,3
OTHER,3
LÜGEN,3
Scheinheilgste Partei Deutschlands,3
Scheinheilgsten Partei Deutschlands,3
UNHCR,3
Grüne Linke,3
Faschisten,3
Nazizeit,3
STAATSMEDIEN,3
Rot Grün,3
Gestapo,3
LTWNDS,3
Freimaurer,3
LBR Oder,3
RAUS,3
BDS,3
Erdogan,3
IRSN,3
Abgeordneten,3
Pampers,2
ABSCHAUM,2
Deutsche Bürger,2
LBR Jerusalem,2
REP,2
Assad,2
ProSieben,2
CETA,2
Lanz,2
NATIONALmannschaft,2
römisch katholischen Kirche,2
LBR Türkei,2
CSUPT,2
Kommunisten,2
LBR Und,2
Holocaustleugner,2
LBR SO,2
Spiegel,2
Ehefueralle,2
LBR Ihr seid,2
UNO,2
Bio,2
Romaday,2
LBR Antisemitismus,2
DANKE,2
RV Bedford Strohm,2
NYPD,2
