entity,count
Deutschland,266
Berlin,89
Europa,66
Chemnitz,31
Italien,28
Capitol,25
A loch,23
Schweden,23
Russland,22
Österreich,22
Afrika,21
Deutschlands,21
Syrer,20
Wiltewka,18
Bremen,18
Sachsen,17
USA,16
Görlitz,15
NRW,15
Bayern,15
München,14
Frankreich,14
futschi,14
Türkei,14
Türken,13
O Wilke,13
Hamburg,12
Wien,12
Dresden,11
China,11
Brüssel,10
Niger,10
Syrien,10
Landes,10
US,10
Hollywood,9
Staaten,9
Ungarn,9
Indien,9
Iran,9
Polen,9
Brandenburg,9
Afrikaner,8
Dänemark,8
Roßlau,8
A loch Wiltewka,8
Israel,8
Köln,8
Dessau,8
Hessen,7
Offenburg,7
Erde,7
Griechenland,7
Österreicher,7
Düsseldorf,7
Ostdeutschland,7
StracheVideo,7
Frankfurt,6
Regensburg,6
Briten,6
Italiener,6
Europas,6
Schweiz,6
Nigerianer,5
Kanzleramt,5
Thüringen,5
Bonn,5
Russen,5
Stadt,5
Essen,5
England,5
Ückendorf,5
Afghanen,5
Mainz,5
Afghane,5
Paris,5
Afghanistan,5
Tunesier,5
Nigeria,5
Türke,4
Kreuzberg,4
Innenstadt,4
Mars,4
Hennigsdorf,4
DE,4
Rom,4
Bundesrepublik Deutschland,4
Danke,4
Rheinland,4
den USA,4
Koblenz,4
Marokko,4
Union,4
London,4
Republik,4
Somalier,3
Görlitzer Park,3
Niederlande,3
Saudi Arabien,3
Instagram Snapchat,3
Koeln,3
Tunesien,3
Großbritannien,3
Görlitzer,3
Marokkaner,3
Vatikan,3
Australien,3
Russlands,3
Landtag,3
Malmö,3
Freiburg,3
Nordkorea,3
Bund,3
Nordafrikaner,3
Irak,3
Leipzig,3
Bautzen,3
Europäer,3
Iraker,3
Mayen,3
Pakistan,3
Basel,3
Istanbul,3
Niedersachsen,3
Linksgrüne,3
Gelsenkirchen,3
Libyen,3
Hamm,3
Hauptbahnhof,3
Pforzheim,3
Nordafrikanern,3
Hannover,3
Albanien,3
Duisburg,2
BVG,2
Kassel,2
Wil,2
Büttelrepublik,2
Musels,2
Leichengift,2
Halle,2
Brexit,2
Baden Württemberg,2
Pankow,2
Wilhelmsburg,2
EinsatzfuerHamburg,2
St Pauli,2
Slowakei,2
Goerlitz,2
Nürnberg,2
Bundesrepublik,2
Helmstedt,2
Mauerpark,2
Heiratsstau,2
Augsburg,2
Brite,2
Guinea,2
Kalifornien,2
Bielefeld,2
Krefeld,2
Dessau Rosslau,2
Wieso,2
Bangladesch,2
Verbotspartei,2
Irland,2
Schwarzafrikaner,2
Christchurch,2
Brunei,2
GretaThunberg,2
Ostfriesland,2
Frankenthal,2
Nordhessen,2
Mecklenburg,2
Arzberg,2
Wahres dran,2
Neubrandenburg,2
Wiesbaden,2
Gotha,2
Neukölln,2
Btw,2
Roseng,2
Siegburg,2
Peking,2
Berlins,2
Europee,2
Ukraine,2
Straßburg,2
Kasseler,2
Kopenhagen,2
Österreichs,2
Libanesen,2
Linköping,2
Franzosen,2
BER Flughafen,2
Chinesen,2
Afrikas,2
Oberschöneweide,2
Stuttgart,2
Ischias,2
Alpen,2
Bundesweit,2
Reinhardswald,2
Stadt Land,2
Bundesinnenministerium,2
Niederösterreich,2
Russin,2
Parma,2
der Schweiz,2
KZ,2
Bundesbürger,2
KrampKarrenbauer,2
Hofgarten,2
Offenbach,2
EUROPAstattEU,2
Algerier,2
Mittelmeer,2
Eritrea,2
Diavata,2
Iraner,2
Moskau,2
Araber,2
Ostdeutschlands,2
Tiroler,2
Warschau,2
Münster,2
Finnen,2
Finnland,2
Alabama,2
Prag,2
Bremer,2
Jamaika,2
Mexiko,2
HH,2
Reinickendorf,2
Würzburg,2
Restdeutsche,2
Serbien,2
Wörthersee,2
Dunkeldeutschland,2
WilayaWilanar,2
Ehrenfeld,2
Innsbruck,2
Eifel,2
Schleswig,2
Juli Italien,2
Umweltbundesamt,2
Dessau Roßlau,2
Amerikaner,2
Teheran,2
Inder,2
Tegel,2
Bundesverfassungsgericht,2
Oder,2
Bottrop,2
Maurerweg,1
Britz,1
Alstertal,1
Baden,1
Magnitz,1
Hamburg Poppenbüttel,1
Allgemeine Krankenhaus AKH,1
Berlin o Frankfurt von Amerika,1
Celle,1
Peine,1
Landsberg,1
Kumasi,1
Ruhr,1
Rumänien,1
Schlossbrücke,1
Haltungstwitter,1
MFG Bahn,1
miit,1
BGH,1
Landgericht,1
Beutelsbacher,1
Europatournee,1
OB,1
Republik Iran,1
Aluhüte,1
Bayern München,1
Man,1
Klarnamenpflicht,1
Haus der Schwester,1
Berliner Flughafen,1
O Wilke berlin,1
Auschwitz,1
Flacherdler,1
Restdeutschland,1
Leichenhunde,1
Bevölkerungsaustausches,1
Busdepot,1
Freistaat,1
Stigmata,1
Brüsseler,1
II,1
Landratsamt Esslingen,1
Landes Baden Württemberg,1
Plettenberg,1
BER,1
Manheim,1
Marokkanern,1
Stadion Wir,1
Luckenwalde,1
Der,1
ef Migrationspaket,1
Clankrieg,1
TwitterSperre,1
Hameln,1
Georgien,1
Islamischen Staates,1
Kirchhundem,1
morgen Schwerin,1
Taxis Restaurants Fahrschule,1
Weltländer,1
Was,1
E I L M E L D U N G,1
Frankfurts,1
Nürnberger Flughafens,1
Vereinten Königreich,1
Auswärtigen Amtes,1
Fragolin,1
Syrern,1
Kaetoffelstaat,1
Kosovare,1
Bundesgerichtshof BGH,1
Capitol Berlin,1
Pinneberg,1
Rosengard,1
Drecksblatt,1
Esslingen,1
D amp D,1
Hongkong,1
Kiffens,1
Kachelnmüssenweg,1
Ver,1
Na Servas,1
Kack Stelzen,1
Schmierlappen,1
Seestadt,1
Raus,1
fckg,1
Kattenstiegsmühle,1
Marxloh,1
gemurkselte Land,1
Kartoffelnazis,1
Dauerhetze,1
Venedig,1
Amri,1
Lel,1
Milky Way,1
Gehirngewaschen,1
Stein,1
Kosten Magdeburg,1
Lampertheim,1
Obdachlosenheim,1
Gesundbrunnen,1
Rovaniemi,1
Kosovo,1
Rodgau,1
taharrushgamea,1
Asylheime,1
Krakau,1
Aschaffenburger,1
Badeanstalten,1
ANTI,1
untergegang,1
WENDEHÄLSE,1
Drogenscene Hennigsdorf Oranienburg,1
Baku,1
Hause,1
Wikimedia CC BY,1
Rock im Park,1
Merkelstan,1
Würgemale,1
Rebeccas,1
Prenzlau,1
Ausstiegshaltestellen,1
Stadt Berlin,1
Dänen,1
FCKAFD,1
Pfingstwochenende,1
Asien,1
Steuerkasse,1
ern,1
Donau,1
Oldenburg,1
Sudanese,1
Solen,1
Weimar,1
Kandel,1
Televoters Platz an D,1
Bexbach,1
Brandenburger,1
Weltfahrradtag von Wien,1
Nicaragua,1
Deutsche von Flüchtlingen,1
Kolumbien,1
Sankt Floriansprinzip,1
Rheinland Pfalz,1
Beteicherungstour,1
Wählermilieu,1
Ferkelbeauftragte Regierung,1
Titten,1
Video Vogelmörder Windrad,1
US Bundesstaat,1
Stendal Stendal,1
Pullach,1
Reichsbrücke,1
Schulz Zug,1
Seehofer,1
Asylheim,1
Nürburgring,1
Brand,1
B Promis,1
Barcelona,1
Engländer,1
Verschwulung,1
FFM,1
Saarländerin,1
Jüngelchen,1
Naziheucheln,1
Wie Berlin,1
Fetzen,1
Ostafrika,1
Hückeswagen,1
Mailand,1
Grossbritannien,1
Einwegpfand,1
Niederländer,1
Abgeschirmt,1
Westmedien,1
Sovietunion,1
hopp hopp,1
Nie,1
Verteidigungsmodus,1
Island Norwegen,1
PLUS,1
Dresdner,1
Weissafrikaner,1
KZ Buchenwald,1
Vodaphon O u debitel,1
EULänder,1
Exm,1
Sargcofark,1
Kita,1
Kita Gebühren,1
Japan,1
Strafgerichtshofes,1
Pontes,1
Lebst Du,1
Zwigge,1
Gewehrläufen,1
Kakerlakenesser,1
Kanada,1
followerpower,1
Miramar,1
kaumzuglauben,1
Nerkelgäste,1
Heucheln,1
laatschen b,1
s Mittelmeer,1
s Klo,1
Zwickauer,1
Duma Chemiewaffen,1
deutschen Sonderweg,1
Sechst,1
Bessermenschis,1
A Wiltewka,1
Guantanamo,1
B Jordanien,1
freeflorian schwagerwars medien,1
O Wilke DerWahrePräsident,1
Capitol amp O Wilke DerWahrePräsident,1
Unbesorgt,1
schlendernd,1
islamischen Staaten,1
Gottkanzlerin,1
refugees,1
Saudi,1
twitternwiechebli,1
Merkel Land,1
Petueltunnel,1
Opernvorplatz,1
Fischadler Horst,1
Windindustriegebiet,1
Süddeutschland,1
Strafrabatt,1
Bosnien,1
Kroatien,1
Cafe einer Unibibliothek,1
Bad Bevensen,1
Zwickau,1
Plauen,1
Münsteraner,1
KeiraGross,1
MachtSinn,1
merkelmussweghamburg Merkelmussweg,1
x Maß,1
Maas,1
New Jersey,1
HBF,1
Cuxhaven,1
Muenchen Iraner,1
Dauerrandale,1
Französin,1
Braunland,1
Bundeswehronkel,1
Hohenschönhausen,1
Schwimmen da Felle afdwürgt,1
Singapur,1
Reichis,1
Seda Basay,1
EuropaFürAlle,1
Durchsuchungsbeschluß,1
Westghats Gebirge,1
deutschen Staats,1
Huttenschule,1
PD,1
Niedersachswerfen,1
Biskopsg rden i Göteborg,1
Unsere,1
Metallbearbeiter Kromatec,1
Neckarwestheim,1
Hagen,1
Oslo,1
Mansfeld,1
Artern,1
MatterhornAlpen,1
Ha ha,1
Rosslau,1
C Erdoberfl,1
