entity,count
AfD,266
SPD,160
CDU,94
EU,85
Grünen,52
EkelWilfred,46
Bundestag,40
Grüne,36
ZDF,23
DDR,20
ARD,17
FPÖ,17
SED,14
Partei,13
CSU,12
Die Grünen,12
GEZ,11
Deutschland,10
Die AfD,9
WilayaWilanar,9
Bundeswehr,9
Berliner Polizei,9
Faschisten,8
JF,8
NazisRaus,8
FDP,8
AKK,7
Faschismus,7
Stasi,7
Amazon,7
Linken,7
MDR,6
UN,6
BKA,6
BILD,6
Sozialdemokraten,6
Antifa,6
SPIEGEL,5
SPÖ,5
Verfassungsschutz,5
Europaparlament,5
Twitter Support,5
EuGH,5
GroKo,5
RefugeesWelcome,4
Eurosport,4
Nie,4
Nationalrat,4
DANKE,4
Kirche,4
Hisbollah,4
Europawahl,4
Demokraten,4
Linke,4
StracheVideo,4
COMPACT,4
IS,4
RTL,4
Lanz,3
SO,3
NASA,3
BVB,3
AKTUELL,3
WerteUnion,3
FCKNZS,3
Kaufhof,3
EZB,3
SEK,3
Die Polizei,3
NSDAP,3
AllahuAkbar,3
BT,3
IHR,3
Saudi Arabien,3
Phoenix,3
EkelWilfred alias A loch,3
ÖVP,3
BMW,3
GehtWählen,3
FFF,3
Aldi,3
HC Strache,3
Parlament,3
WIR,2
falschen Partei,2
FrenchOpen,2
Tätern,2
ltmv mv,2
GörlitzistschlauGörlitzwähltblau,2
Antifa Idioten,2
Lega,2
UNHCR,2
CNN,2
TrauDichDeutschland,2
OBM,2
TKKG,2
AN,2
ESC,2
WER,2
FBI,2
Targo,2
OPCW,2
BND,2
CHESGE,2
LangstreckenLuisa,2
EkelWilfred Wiltewka,2
Audi,2
Samariter Bund,2
Die Linken,2
AfD Sachsen,2
HFA,2
Freiburg,2
den Grünen,2
Schalke,2
Abgeordneten,2
Borussia,2
Wirtschaftswoche,2
Greenpeace,2
NS,2
BfV,2
ALLES,2
CC BY,2
DWN,2
CIA,2
Union,2
Europäische Union,2
Liberalen,2
ISIS,2
Russlanddeutschen Konservativen,2
Sky,2
WAS,2
Wessis,2
LESENSWERT,2
ach,2
Hab,2
DummMenschen,2
GB,2
libyschen Küstenwache,2
NoGrüne,2
FPOE,2
Amadeu Antonio Stiftung,2
Nazi,2
BAMF,2
