entity,count
Merkel,58
Strache,19
Trump,19
Greta,12
Angela Merkel,11
Akbar,11
Merkels,11
Chebli,10
Hi,10
rebecca freeflorian schwager,10
Unzensuriert,10
AnneWill,9
Wilke,9
Danke,8
AfDwählen,8
Putin,8
Rebecca findbecci,8
Salvini,7
Na,7
Relotius,7
Wilfuzius,7
Kahane,6
Kühnert,6
Mohammed,6
Ach,6
Ramadan,6
Rebecca heim,6
Walter Lübcke,6
sundance,6
Donald Trump,6
Tichy,6
Maas,6
Ursula Haverbeck,5
Nahles,5
Stegner,5
Daniel Cohn Bendit,5
Allah,5
Scholz,5
rebecca freeflorian,5
Sarah Connor,5
Gauland,5
Kickl,5
Lübcke,5
Juncker,5
Sylvia Stolz,5
Rebeccas,5
Habeck,5
Steinbach,5
Obama,5
Sarrazin,5
Seehofer,5
EkelWilfred,5
Nix,4
Robert Habeck,4
Susanna,4
Mich,4
Papa Wilberg,4
Sebastian Kurz,4
Soros,4
Hoffentlich,4
Michel,4
Besser,4
Steinmeier,4
Wiltewka Wilberg,4
Teufel,4
rebecca freeflorian schwagerwars,4
Altmaier,4
Gabriel,4
Albert Schweitzer,4
WsK,4
Jaxxon sundance,3
Claudia Roth,3
EkelWilfred Wilberg,3
Jan Böhmermann,3
O Wilke,3
Wladimir Putin,3
Greta Thunberg,3
AfDwirkt,3
Erdogan,3
Kramp Karrenbauer,3
Bin,3
Lieber,3
Dreyer,3
Horst Seehofer,3
Matteo Salvini,3
Horst Mahler,3
Uwe Junge,3
Marx,3
Frank Thelen,3
Prophetin,3
Kim Jong,3
George Soros,3
Angela Schaller,3
MdL Köbberling,3
Erika Steinbach,3
Oppermann,3
Böhmermann,3
Sebastian Wippel,3
Huch,3
Heiko Maas,3
Hans Georg Maaßen,3
rebecca baqqu,3
Kevin Kühnert,3
Hannelore Kraft,3
Maaßen,3
Becci,3
Hartz,3
Rebecca,3
Mann,3
Sohn,3
Jährige,3
Herr Junge,3
Ernst Cran,3
Allahu Akbar,3
Thilo Sarrazin,3
soisset,3
Jesus,3
Schwesig,2
klimascheiße,2
Stürzenberger,2
Nazipack,2
Schmidt,2
Florian,2
Niemals,2
Al Kuds,2
EkelWilfred Wiltewka,2
Talk Tim K,2
Peter Weber,2
Thunberg,2
Gniffke,2
z B,2
Brexit,2
Kevin,2
Nikolai,2
rebecca freeflorian medien,2
Alexander Gauland,2
Andrea Nahles,2
Vergiss,2
Michael Müller,2
Friedrich Merz,2
Gott,2
Hofer,2
Dieter Bohlen,2
Ali,2
schwagerwars,2
Röhm,2
Gutmenschenterror,2
Oder,2
Gruene,2
Beatrix von Storch,2
Lafontaine,2
Kramp,2
Klarnamenpflicht,2
Frank Magnitz,2
Landteil,2
Auschwitz,2
Knobloch,2
Claudia,2
Blau,2
Nigel Farage,2
Hammer,2
Frohe Pfingsten,2
Anton Hofreiter,2
Abboud,2
Detlef J,2
Jähriger,2
Hasspostings,2
Henryk M Broder,2
Gebt,2
Brandner,2
Klimanotstand,2
WilayaWilanar O Wilke,2
Olaf Scholz,2
