entity,count
Deutschland,687
Europa,225
Berlin,139
Afrika,114
Türken,103
Afrikaner,95
Israel,91
Türkei,87
Russland,81
USA,65
Chinesen,63
Österreich,62
Ukraine,55
Schweiz,54
Italien,52
China,51
Deutschlands,44
Polen,44
Syrien,44
Großbritannien,41
Inder,40
Amerikaner,40
Stadt,40
Ungarn,40
Frankreich,39
LBR,39
Landes,38
Bayern,36
Italiener,33
Schweden,33
US,32
Russen,32
Chemnitz,31
Jamaika,31
Araber,31
NRW,31
Erde,30
Iran,30
München,29
England,28
Staaten,27
Syrer,27
Europas,27
Amerika,27
den USA,26
Briten,26
Indien,26
Afghanistan,26
Mittelmeer,25
Capitol,25
BRD,23
A loch,23
Rumänen,22
Hamburg,22
London,21
Türke,20
Bonn,20
der Schweiz,20
Köln,20
Sachsen,20
Saudi Arabien,19
Bremen,19
Dresden,19
Österreicher,19
Wien,19
Brüssel,18
Wiltewka,18
Jerusalem,18
Union,17
Frankfurt,17
Niger,17
Japaner,16
Düsseldorf,15
Europäer,15
Franzosen,15
Görlitz,15
Pakistaner,15
futschi,14
Mexiko,14
O Wilke,13
Australien,13
Hessen,13
Afghane,13
Vereinigten Staaten,13
Maas,13
Palästina,12
Hollywood,12
Vereinigte Königreich,12
Lesbos,12
Arabern,11
Auswärtige Amt,11
Brite,11
DE,11
Griechenland,11
Leipzig,11
Dänemark,11
Paris,10
Spanien,10
Israels,10
Japan,10
Vereinigten Königreich,10
Nordkorea,9
Republik,9
Nürnberg,9
Brandenburg,9
Auschwitz,9
Paraguay,9
Bund,9
Afghanen,9
Corona,9
Altena,9
PL,9
Kanada,8
Dortmund,8
Roßlau,8
Kurden,8
Belgien,8
Pakistan,8
Niedersachsen,8
Nigeria,8
Tunesien,8
A loch Wiltewka,8
Amerikas,8
Dessau,8
Irak,8
Brandenburger Tor,8
Arsch,8
Rom,8
Manila,8
Krim,8
Breitscheidplatz,7
Schland,7
Mecklenburger,7
Ostdeutschland,7
Mainz,7
Afrikanern,7
StracheVideo,7
Offenburg,7
Marokko,7
Schwarzen,7
Vatikan,7
Niederlande,7
BVerfG,7
Finnland,7
Mecklenburg,7
Europäern,7
Ägypten,7
Asien,7
Freiburg,6
Dachau,6
Tschechien,6
Engländer,6
Mannheim,6
Balkan,6
Schleswig,6
Essen,6
Szczecin,6
Koeln,6
Leyen,6
STELLEN,6
Basel,6
Stuttgart,6
BER,6
Incirlik,6
Thüringen,6
Barcelona,6
Nigerianer,6
Moskau,6
Nieder,6
Rumänien,6
Afrin,6
Raus,6
Kanzleramt,6
Regensburg,6
Iraker,5
Spanier,5
Mossul,5
Wieso,5
Afrikas,5
maischberger,5
Kalifornien,5
Marokkaner,5
Katar,5
Bundesrepublik,5
Kandel,5
Pforzheim,5
Jordanien,5
Libanon,5
Pole,5
Danke,5
Koreaner,5
New Yorker,5
Auswärtigen Amt,5
Eritrea,5
Chinese,5
Bulgarien,5
Tunesier,5
Hannover,5
BKA,5
Mars,5
Libyen,5
Chinas,5
Istanbul,5
Ückendorf,5
Peking,5
Kongo,5
Oder,5
Katalonien,5
Serbien,5
Anatolien,5
Sahara,5
Jemen,5
Bundesverfassungsgericht,4
Bundesbürger,4
Münster,4
Russlands,4
Duisburg,4
Bangladesch,4
Flughafen,4
Amerikanern,4
Landtag,4
afrikanischen Kontinentes,4
Israelis,4
Auswärtigen Amtes,4
Innenstadt,4
Bin,4
Kenia,4
Rheinland,4
asiatischen Kontinents,4
Hauptbahnhof,4
Gelsenkirchen,4
Koblenz,4
TVDuell,4
Kreuzberg,4
Somalier,4
Albanien,4
Südamerika,4
Japanern,4
Bern,4
Pakistani,4
Bundesrepublik Deutschland,4
Slowakei,4
Iren,4
Holland,4
Brexit,4
Hennigsdorf,4
Wogs,4
Römer,4
Halle,4
HH,4
Kosovo,4
Algerier,4
UK,4
Washington,4
Du,4
Tschechen,4
stinkende unterschicht,3
Schwarzafrikaner,3
Schwerin,3
Frankreichs,3
Transen,3
Antifantenbrut,3
Neumünster,3
Bundesweit,3
Brasilianer,3
Ruhrpott,3
herd,3
FarbenBekennen,3
Iraner,3
Wohin,3
Indonesien,3
Alpen,3
Roma,3
BVG,3
Filipinos,3
Gaza,3
Tübingen,3
Albaner,3
Dir,3
Teheran,3
Bosnien,3
Syrern,3
Krefeld,3
LG,3
New York,3
Mallorca,3
Shithole,3
islamischen Staaten,3
Subsahara,3
Chinesin,3
Korea,3
britische Regierung,3
Malmö,3
Polens,3
Cuxhaven,3
Brüsseler,3
Ungar,3
Eifel,3
Belarus,3
Hamm,3
Gotha,3
Görlitzer,3
Dublin,3
Dubai,3
Saarland,3
Instagram Snapchat,3
Hongkong,3
Görlitzer Park,3
Linksgrüne,3
Bautzen,3
Nordafrikanern,3
Brooklyn,3
Kiew,3
Slowenien,3
