entity,count
LBR,525
SPD,452
AfD,398
CDU,192
EU,190
Bundestag,108
Grünen,93
FDP,65
CSU,63
Grüne,62
ZDF,58
DDR,57
ARD,51
OTHER OTHER,50
OFFENSE,49
EkelWilfred,46
WDR,41
GroKo,39
Stasi,38
Kirche,37
SED,36
die Grünen,36
Partei,36
CL,31
ABUSE,28
IS,27
NPD,25
Faschismus,25
BLM,23
TN,22
Bundeswehr,20
SCHMAROTZER,18
FPÖ,18
Linken,17
NSU,17
Faschisten,16
ISIS,15
GEZ,15
DENUNZIANTEN,14
BKA,14
Demokraten,14
fxn,13
RTL,13
NATO,13
Deutschland,13
Sozialdemokraten,13
Linke,12
UN,12
HamburgPride,11
TBB,11
Die AfD,11
Saudi Arabien,11
Islam,11
Hab,10
Union,10
Jusos,10
Berliner Polizei,10
BILD,10
Parlament,10
Nati,10
NSDAP,10
Universität,10
MDR,10
Gesellschaft,10
EKD,9
BRD,9
WilayaWilanar,9
NEBA,9
Die Polizei,9
Spiegel,9
Antifa,9
Antisemiten,9
NHS,8
LBR AFD,8
NazisRaus,8
Europäische Parlament,8
MIT,8
BBC,8
JF,8
Hamas,8
ern,8
SVP,8
Amazon,8
Uni,7
Trans,7
AKK,7
SS,7
SPÖ,7
CIA,7
Kommunisten,7
Phoenix,7
NS,7
BT,7
FB,7
ÖVP,6
Nazi,6
ALLES,6
LBR MeToo,6
Corona,6
DANKE,6
UNHCR,6
LSVD,6
NIE,6
Zeit des Nationalsozialismus,6
den Grünen,6
FDJ,5
Lanz,5
Verfassungsschutz,5
FCKNZS,5
Reichsbürger,5
WIR,5
Twitter Support,5
Mercedes,5
BStU,5
DE,5
COMPACT,5
illner,5
Abgeordneten,5
WAS,5
BW,5
Tories,5
Freimaurer,5
Europaparlament,5
NIEMALS,5
RefugeesWelcome,5
Twitter,5
Finanzkommission,5
Taliban,5
Militär,5
DILK,5
FBI,5
Antisemitismus,5
KKK,5
Bayer,5
EuGH,5
Europawahl,4
CNN,4
Hisbollah,4
Deutschen Volk,4
Schalke,4
MSM,4
Nationalrat,4
Aldi,4
Mongos,4
Konservativen,4
KGE,4
TL,4
Rot Grün,4
SAT,4
ORF,4
Bundestages,4
Muslimbruderschaft,4
Walmart,4
RU,4
deutsche Armee,4
Frauenfußball,4
EZB,4
Nahles,4
IHR,4
BMI,4
SPDler,4
Ex Jugoslawien,4
Liberalen,4
Armee,4
Eurosport,4
Jugoslawien,4
FC Frauenfeld,4
GG,4
Männern,4
StracheVideo,4
Schön Schön,4
LBR Deutschland,4
Pitbulls,4
