entity,count
Merkel,260
Trump,97
Merkels,65
Schulz,57
Hitler,34
Teufel,32
Sohn,31
Erdogan,27
Angela Merkel,24
Danke,23
Putin,23
Claudia Roth,21
Strache,20
Gabriel,20
Du,19
Seehofer,19
Steinmeier,19
Islam,19
Maischberger,19
Schwarze,18
Lindner,17
Murksel,17
Obama,17
Maas,16
Jesus,16
Lieber,15
Nahles,15
Gott,15
Mohammed,15
Stegner,14
Heiko Maas,14
Donald Trump,14
Chebli,13
hartaberfair,13
Hi,13
Akbar,12
Na,12
Martin Schulz,12
Ach,12
Gauland,12
Ehrlich,12
Greta,12
Besser,12
Ramadan,11
Marx,11
Allah,11
Altmaier,11
Bill Gates,11
AnneWill,11
Covid,11
Ernst,10
Kühnert,10
Kahane,10
Unzensuriert,10
rebecca freeflorian schwager,10
Mongos,9
Höcke,9
Liebe,9
z B,9
Wilke,9
Rebecca findbecci,8
Böhmermann,8
Hoffentlich,8
Scholz,8
Herzlichen Glückwunsch,8
Bin,8
AfDwählen,8
Sagt,8
Gauck,8
Corona,8
Mann,8
Andrea Nahles,7
Anne Will,7
Salvini,7
Juncker,7
Volker Beck,7
Bruder,7
Nee,7
Franziskus,7
Relotius,7
Özdemir,7
Bedford Strohm,7
Sohnes,7
Wilfuzius,7
Soros,7
Putins,6
Roth,6
Pajeets,6
Ursula Haverbeck,6
Mich,6
Sarrazin,6
LBR Merkel,6
Tichy,6
Rebeccas,6
Jahren,6
Ne,6
Walter Lübcke,6
Kickl,6
sundance,6
Stalin,6
Zurückgebliebene,6
Yvonne Willicks,6
Palmer,6
Weiss,6
Rebecca heim,6
Xhaka,6
Pakis,6
Adolf,5
Hillary,5
Hitlers,5
EkelWilfred,5
Schwesig,5
Lübcke,5
Johnson,5
Basta,5
Daniel Cohn Bendit,5
Merz,5
Steinbach,5
Sylvia Stolz,5
rebecca freeflorian,5
Sarah Connor,5
Gönnt,5
Hartz,5
Gedeon,5
Horst Seehofer,5
Sorry,5
Habeck,5
ekdsynode,5
Orban,5
Sebastian Kurz,5
Schäuble,5
Niemals,5
Laschet,5
IM Erika,5
Nix,5
Luther,5
Kohl,5
Kard Marx,5
Hammer,4
Göring,4
Konrad Adenauer,4
Willy Brandt,4
Bleib,4
Martin,4
Karl Marx,4
Ähm,4
Einfach,4
Wolfgang Schäuble,4
Fr Merkel,4
Poggenburg,4
Barbie,4
Macron,4
Laßt,4
Mike Pence,4
Westerwelle,4
Moin moin,4
George Soros,4
Will,4
Schröder,4
Koshies,4
Marcon,4
Albert Schweitzer,4
Susanna,4
rebecca freeflorian schwagerwars,4
Kim Jong,4
Wladimir Putin,4
Honecker,4
WsK,4
Rainer,4
David,4
Huch,4
LBR,4
AfDwirkt,4
Göbbels,4
Satan,4
Maria,4
Illner,4
Magaldi,4
nich,4
Papa Wilberg,4
Wiltewka Wilberg,4
Wagenknecht,4
Adolf Hitler,4
Vergiss,4
Brexit,4
Weidel,4
Prinz Harry,4
Robert Habeck,4
Muschpoke,4
Schwaetzer,4
Hey,4
Michel,4
Hass,4
Hannelore Kraft,4
Mach,4
Ekelhafte,4
Claudia,3
Demirtas,3
LBR Trump,3
Spass,3
Behinderte,3
Hagel,3
Niggas,3
Goethe,3
Silvester,3
Drecksäcke,3
Siddhartha Gautama,3
visioneurope,3
Groening,3
John Oliver,3
Frau Nahles,3
Dobrindt,3
Göring Eckardt,3
Franz Josef Strauß,3
Trittin,3
Söder,3
Gates,3
Beck,3
verdammt,3
Adam,3
kotzen,3
Navid Kermani,3
Hermann Gemeiner,3
Pocahontas,3
Elliot Page,3
Renate Künast,3
Norbert Lammert,3
lanz,3
Claudi Roth,3
Schmidt,3
Maaßen,3
Netanjahu,3
Jan Böhmermann,3
rebecca baqqu,3
Herr Junge,3
Oppermann,3
Uwe Junge,3
Weiße,3
Djokovic,3
Jaxxon sundance,3
oh Mann,3
Dietrich Bonhoeffer,3
Boris Palmer,3
Ben Salomo,3
Hadithe,3
Widder,3
Martin Luther,3
Sawsan Chebli,3
Frau Merkel,3
Schlafmichel,3
Dieter Nuhr,3
Alexander Gauland,3
Kramp Karrenbauer,3
Sebastian Wippel,3
Engel,3
EkelWilfred Wilberg,3
Viktor Orb,3
Hofer,3
Friedman,3
Frei,3
Jesus Christus,3
Spahn,3
Sawsan,3
Hamilton,3
Ragheads,3
Jährige,3
Jähriger,3
Ching Chongs,3
Gross,3
Gröning,3
Rebecca,3
Becci,3
Seehofers,3
MdL Köbberling,3
Dreyer,3
O Wilke,3
Anne Franks,3
Allahu Akbar,3
Matteo Salvini,3
Merkt,3
Angela Schaller,3
Prophetin,3
Beatrix von Storch,3
Hans Georg Maaßen,3
Dr Matthias Ring,3
Ahmed,3
Ernst Cran,3
Schrifttext Jes,3
soisset,3
Gute,3
Storch,3
Yücel,3
Deniz Yücel,3
Christen,3
Anette Kahane,3
aksynode,3
Kevin Kühnert,3
Klitschko,3
Horst Mahler,3
Heribert Prantl,3
Zigeunerspiess,3
Müll,3
Musk,3
Mohamed,3
Tom,3
Lol,3
Frank Thelen,3
Greta Thunberg,3
Erika Steinbach,3
Rothschild,3
Helmut Kohl,3
Zigeuner,3
Uli Hoeneß,3
Thilo Sarrazin,3
Oder,3
Schmonzes,3
Lauterbach,3
Gottes,3
Netanyahu,3
Kindern,2
Mein Jugo Nachbar,2
AntiVax,2
MrMoudz,2
Josef Stalin,2
Stalingrads,2
Mein Arbeitskolleg,2
Bl,2
Uli,2
Undokumentierte,2
Blau,2
Landteil,2
ern,2
Tom Jerry,2
Jerry Tom,2
Knöchel,2
hmu,2
Jids,2
Antifantenbrut,2
Scheisse,2
Petry,2
Mr,2
Japp,2
Seibert,2
Starke,2
Dir,2
Oskar,2
cool,2
Knobloch,2
Frank Magnitz,2
Contra Mag,2
Kohn Bendit,2
Medienpack,2
Olaf Scholz,2
Angela,2
Faustdicke,2
Ischias,2
Abboud,2
Mohammeds,2
Ralf,2
Geil,2
Mascha,2
Huch Kim Jong Merkel,2
Kevin,2
Klimanotstand,2
Auschwitz,2
Anton Hofreiter,2
Peter Weber,2
klimascheiße,2
Markus Lanz,2
Talk Tim K,2
Rot Blau,2
Nie,2
Friedrich Merz,2
Elon Musk,2
Heiko,2
Meuthen,2
EkelWilfred Wiltewka,2
Michael,2
Henryk M Broder,2
Röhm,2
Michael Müller,2
Gutmenschenterror,2
Thunberg,2
Gruene,2
Lafontaine,2
Hillary Clinton,2
schwagerwars,2
Gerry Weber,2
Detlef J,2
Fikentscher,2
Georg Restle,2
Florian,2
rebecca freeflorian medien,2
sat,2
Doof,2
Frohe Pfingsten,2
Hasspostings,2
Frohe Ostern,2
Sisha,2
Bacho,2
Matthäus,2
Andreas Popp,2
Fatima Roth,2
Atatürk,2
Südländer,2
Nazipack,2
Heinrich,2
Dieter Bohlen,2
Gniffke,2
Opa,2
Ken Jebsen,2
Mein,2
Buddhistinnen,2
Ha Jemand,2
George Pickett,2
Darwin,2
Behindert,2
Kameljockeys,2
Frans Timmermans,2
Cohn Bendit,2
Spendentour,2
