Strategy,Model,Train,Test,Accuracy,Precision_macro,Recall_macro,F1_macro,Class0_Precision,Class0_Recall,Class0_F1,Class0_Support,Class1_Precision,Class1_Recall,Class1_F1,Class1_Support,Macro_F1,Weighted_F1,Full_Report_JSON
None,bert-base-german-cased,GERMEVAL (train),GERMEVAL (test),0.7872277810476751,0.767945160798855,0.7415035587188612,0.7510730918328297,0.8118609406952966,0.8830071174377224,0.8459407628382698,2248.0,0.7240293809024134,0.6,0.6562054208273894,1150.0,0.7510730918328297,0.7817278012983898,"{""0"": {""precision"": 0.8118609406952966, ""recall"": 0.8830071174377224, ""f1-score"": 0.8459407628382698, ""support"": 2248.0}, ""1"": {""precision"": 0.7240293809024134, ""recall"": 0.6, ""f1-score"": 0.6562054208273894, ""support"": 1150.0}, ""accuracy"": 0.7872277810476751, ""macro avg"": {""precision"": 0.767945160798855, ""recall"": 0.7415035587188612, ""f1-score"": 0.7510730918328297, ""support"": 3398.0}, ""weighted avg"": {""precision"": 0.7821357218130671, ""recall"": 0.7872277810476751, ""f1-score"": 0.7817278012983898, ""support"": 3398.0}}"
None,bert-base-german-cased,HASOC (train),HASOC (test),0.8305882352941176,0.6158088235294117,0.5330882352941176,0.5294117647058824,0.8492647058823529,0.9705882352941176,0.9058823529411765,714.0,0.38235294117647056,0.09558823529411764,0.15294117647058825,136.0,0.5294117647058824,0.7854117647058823,"{""0"": {""precision"": 0.8492647058823529, ""recall"": 0.9705882352941176, ""f1-score"": 0.9058823529411765, ""support"": 714.0}, ""1"": {""precision"": 0.38235294117647056, ""recall"": 0.09558823529411764, ""f1-score"": 0.15294117647058825, ""support"": 136.0}, ""accuracy"": 0.8305882352941176, ""macro avg"": {""precision"": 0.6158088235294117, ""recall"": 0.5330882352941176, ""f1-score"": 0.5294117647058824, ""support"": 850.0}, ""weighted avg"": {""precision"": 0.7745588235294117, ""recall"": 0.8305882352941176, ""f1-score"": 0.7854117647058823, ""support"": 850.0}}"
None,bert-base-german-cased,GAHD (train),GAHD (test),0.7808426795998787,0.7765520509422948,0.7812011961182577,0.7778642971714864,0.82996632996633,0.7788309636650869,0.8035859820700897,1899.0,0.7231377719182597,0.7835714285714286,0.7521426122728831,1400.0,0.7778642971714864,0.781754906678732,"{""0"": {""precision"": 0.82996632996633, ""recall"": 0.7788309636650869, ""f1-score"": 0.8035859820700897, ""support"": 1899.0}, ""1"": {""precision"": 0.7231377719182597, ""recall"": 0.7835714285714286, ""f1-score"": 0.7521426122728831, ""support"": 1400.0}, ""accuracy"": 0.7808426795998787, ""macro avg"": {""precision"": 0.7765520509422948, ""recall"": 0.7812011961182577, ""f1-score"": 0.7778642971714864, ""support"": 3299.0}, ""weighted avg"": {""precision"": 0.7846313856597831, ""recall"": 0.7808426795998787, ""f1-score"": 0.781754906678732, ""support"": 3299.0}}"
None,bert-base-german-cased,GERMEVAL (full),HASOC (full),0.8048832726493896,0.6249261311910048,0.7024896693384894,0.6437627392585286,0.9364648384469183,0.835918565196316,0.8833397362018184,4126.0,0.3133874239350913,0.569060773480663,0.40418574231523874,543.0,0.6437627392585286,0.827614609048164,"{""0"": {""precision"": 0.9364648384469183, ""recall"": 0.835918565196316, ""f1-score"": 0.8833397362018184, ""support"": 4126.0}, ""1"": {""precision"": 0.3133874239350913, ""recall"": 0.569060773480663, ""f1-score"": 0.40418574231523874, ""support"": 543.0}, ""accuracy"": 0.8048832726493896, ""macro avg"": {""precision"": 0.6249261311910048, ""recall"": 0.7024896693384894, ""f1-score"": 0.6437627392585286, ""support"": 4669.0}, ""weighted avg"": {""precision"": 0.8640015623535532, ""recall"": 0.8048832726493896, ""f1-score"": 0.827614609048164, ""support"": 4669.0}}"
None,bert-base-german-cased,GERMEVAL (full),GAHD (full),0.6122226264096035,0.5975609850262555,0.5855567721590559,0.5829761049389806,0.636315650567432,0.7617693522906793,0.6934138625251653,6330.0,0.558806319485079,0.4093441920274325,0.47253834735279565,4666.0,0.5829761049389806,0.5996884029221936,"{""0"": {""precision"": 0.636315650567432, ""recall"": 0.7617693522906793, ""f1-score"": 0.6934138625251653, ""support"": 6330.0}, ""1"": {""precision"": 0.558806319485079, ""recall"": 0.4093441920274325, ""f1-score"": 0.47253834735279565, ""support"": 4666.0}, ""accuracy"": 0.6122226264096035, ""macro avg"": {""precision"": 0.5975609850262555, ""recall"": 0.5855567721590559, ""f1-score"": 0.5829761049389806, ""support"": 10996.0}, ""weighted avg"": {""precision"": 0.6034256415795947, ""recall"": 0.6122226264096035, ""f1-score"": 0.5996884029221936, ""support"": 10996.0}}"
None,bert-base-german-cased,GERMEVAL (full),HASOC+GAHD (HASOC+GAHD),0.6696457069901053,0.6191709835679087,0.6085112735256192,0.6116869557210072,0.7344818399786875,0.7910290742157613,0.7617074181516784,10456.0,0.5038601271571299,0.42599347283547706,0.461666493290336,5209.0,0.6116869557210072,0.6619363886207027,"{""0"": {""precision"": 0.7344818399786875, ""recall"": 0.7910290742157613, ""f1-score"": 0.7617074181516784, ""support"": 10456.0}, ""1"": {""precision"": 0.5038601271571299, ""recall"": 0.42599347283547706, ""f1-score"": 0.461666493290336, ""support"": 5209.0}, ""accuracy"": 0.6696457069901053, ""macro avg"": {""precision"": 0.6191709835679087, ""recall"": 0.6085112735256192, ""f1-score"": 0.6116869557210072, ""support"": 15665.0}, ""weighted avg"": {""precision"": 0.6577944156513659, ""recall"": 0.6696457069901053, ""f1-score"": 0.6619363886207027, ""support"": 15665.0}}"
None,bert-base-german-cased,HASOC (full),GERMEVAL (full),0.7108362079219698,0.765616892371261,0.5807771830647634,0.5572036781438856,0.7014120667522464,0.9811456275812533,0.8180253012950071,5569.0,0.8298217179902755,0.18040873854827344,0.2963820549927641,2838.0,0.5572036781438856,0.6419311496349897,"{""0"": {""precision"": 0.7014120667522464, ""recall"": 0.9811456275812533, ""f1-score"": 0.8180253012950071, ""support"": 5569.0}, ""1"": {""precision"": 0.8298217179902755, ""recall"": 0.18040873854827344, ""f1-score"": 0.2963820549927641, ""support"": 2838.0}, ""accuracy"": 0.7108362079219698, ""macro avg"": {""precision"": 0.765616892371261, ""recall"": 0.5807771830647634, ""f1-score"": 0.5572036781438856, ""support"": 8407.0}, ""weighted avg"": {""precision"": 0.7447600613060142, ""recall"": 0.7108362079219698, ""f1-score"": 0.6419311496349897, ""support"": 8407.0}}"
None,bert-base-german-cased,HASOC (full),GAHD (full),0.5804838122953802,0.5615265796780191,0.5142709960596944,0.42875913091197193,0.583083325268557,0.9518167456556083,0.7231590950009001,6330.0,0.5399698340874811,0.07672524646378054,0.13435916682304372,4666.0,0.42875913091197193,0.47331001671080575,"{""0"": {""precision"": 0.583083325268557, ""recall"": 0.9518167456556083, ""f1-score"": 0.7231590950009001, ""support"": 6330.0}, ""1"": {""precision"": 0.5399698340874811, ""recall"": 0.07672524646378054, ""f1-score"": 0.13435916682304372, ""support"": 4666.0}, ""accuracy"": 0.5804838122953802, ""macro avg"": {""precision"": 0.5615265796780191, ""recall"": 0.5142709960596944, ""f1-score"": 0.42875913091197193, ""support"": 10996.0}, ""weighted avg"": {""precision"": 0.564788713605143, ""recall"": 0.5804838122953802, ""f1-score"": 0.47331001671080575, ""support"": 10996.0}}"
None,bert-base-german-cased,HASOC (full),GERMEVAL+GAHD (GERMEVAL+GAHD),0.6369633561820337,0.6568166573552944,0.5407407446398087,0.4817297460914819,0.6339458147105888,0.9655433229683167,0.7653720604889748,11899.0,0.6796875,0.11593816631130063,0.19808743169398907,7504.0,0.4817297460914819,0.5459779536767513,"{""0"": {""precision"": 0.6339458147105888, ""recall"": 0.9655433229683167, ""f1-score"": 0.7653720604889748, ""support"": 11899.0}, ""1"": {""precision"": 0.6796875, ""recall"": 0.11593816631130063, ""f1-score"": 0.19808743169398907, ""support"": 7504.0}, ""accuracy"": 0.6369633561820337, ""macro avg"": {""precision"": 0.6568166573552944, ""recall"": 0.5407407446398087, ""f1-score"": 0.4817297460914819, ""support"": 19403.0}, ""weighted avg"": {""precision"": 0.6516361515869349, ""recall"": 0.6369633561820337, ""f1-score"": 0.5459779536767513, ""support"": 19403.0}}"
None,bert-base-german-cased,GAHD (full),GERMEVAL (full),0.6143689782324253,0.546948384854664,0.5402761258557673,0.5393323440130346,0.6867276520622693,0.7683605674268271,0.7252542372881355,5569.0,0.4071691176470588,0.31219168428470756,0.3534104507379338,2838.0,0.5393323440130346,0.5997287625373954,"{""0"": {""precision"": 0.6867276520622693, ""recall"": 0.7683605674268271, ""f1-score"": 0.7252542372881355, ""support"": 5569.0}, ""1"": {""precision"": 0.4071691176470588, ""recall"": 0.31219168428470756, ""f1-score"": 0.3534104507379338, ""support"": 2838.0}, ""accuracy"": 0.6143689782324253, ""macro avg"": {""precision"": 0.546948384854664, ""recall"": 0.5402761258557673, ""f1-score"": 0.5393323440130346, ""support"": 8407.0}, ""weighted avg"": {""precision"": 0.5923554478669122, ""recall"": 0.6143689782324253, ""f1-score"": 0.5997287625373954, ""support"": 8407.0}}"
None,bert-base-german-cased,GAHD (full),HASOC (full),0.769543799528807,0.5378318820365903,0.5537544779590238,0.5403346877289705,0.8971354166666666,0.8349491032476976,0.864925935224705,4126.0,0.17852834740651388,0.27255985267034993,0.21574344023323616,543.0,0.5403346877289705,0.7894266645499636,"{""0"": {""precision"": 0.8971354166666666, ""recall"": 0.8349491032476976, ""f1-score"": 0.864925935224705, ""support"": 4126.0}, ""1"": {""precision"": 0.17852834740651388, ""recall"": 0.27255985267034993, ""f1-score"": 0.21574344023323616, ""support"": 543.0}, ""accuracy"": 0.769543799528807, ""macro avg"": {""precision"": 0.5378318820365903, ""recall"": 0.5537544779590238, ""f1-score"": 0.5403346877289705, ""support"": 4669.0}, ""weighted avg"": {""precision"": 0.8135621378899985, ""recall"": 0.769543799528807, ""f1-score"": 0.7894266645499636, ""support"": 4669.0}}"
None,bert-base-german-cased,GAHD (full),HASOC+GERMEVAL (HASOC+GERMEVAL),0.6697766901193025,0.5555239001095549,0.5512630040244005,0.5526887255489921,0.7669546221825042,0.7966993295513151,0.7815440655671355,9695.0,0.34409317803660566,0.30582667849748596,0.3238333855308487,3381.0,0.5526887255489921,0.6631959614678172,"{""0"": {""precision"": 0.7669546221825042, ""recall"": 0.7966993295513151, ""f1-score"": 0.7815440655671355, ""support"": 9695.0}, ""1"": {""precision"": 0.34409317803660566, ""recall"": 0.30582667849748596, ""f1-score"": 0.3238333855308487, ""support"": 3381.0}, ""accuracy"": 0.6697766901193025, ""macro avg"": {""precision"": 0.5555239001095549, ""recall"": 0.5512630040244005, ""f1-score"": 0.5526887255489921, ""support"": 13076.0}, ""weighted avg"": {""precision"": 0.6576173215816107, ""recall"": 0.6697766901193025, ""f1-score"": 0.6631959614678172, ""support"": 13076.0}}"
None,xlm-roberta-base,GERMEVAL (train),GERMEVAL (test),0.7828134196586227,0.7742649893965683,0.7201164319975244,0.734461087279159,0.7903846153846154,0.9141459074733096,0.8477722772277227,2248.0,0.7581453634085213,0.5260869565217391,0.6211498973305954,1150.0,0.734461087279159,0.7710754741430563,"{""0"": {""precision"": 0.7903846153846154, ""recall"": 0.9141459074733096, ""f1-score"": 0.8477722772277227, ""support"": 2248.0}, ""1"": {""precision"": 0.7581453634085213, ""recall"": 0.5260869565217391, ""f1-score"": 0.6211498973305954, ""support"": 1150.0}, ""accuracy"": 0.7828134196586227, ""macro avg"": {""precision"": 0.7742649893965683, ""recall"": 0.7201164319975244, ""f1-score"": 0.734461087279159, ""support"": 3398.0}, ""weighted avg"": {""precision"": 0.7794737443509167, ""recall"": 0.7828134196586227, ""f1-score"": 0.7710754741430563, ""support"": 3398.0}}"
None,xlm-roberta-base,HASOC (train),HASOC (test),0.84,0.42,0.5,0.45652173913043476,0.84,1.0,0.9130434782608695,714.0,0.0,0.0,0.0,136.0,0.45652173913043476,0.7669565217391304,"{""0"": {""precision"": 0.84, ""recall"": 1.0, ""f1-score"": 0.9130434782608695, ""support"": 714.0}, ""1"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 136.0}, ""accuracy"": 0.84, ""macro avg"": {""precision"": 0.42, ""recall"": 0.5, ""f1-score"": 0.45652173913043476, ""support"": 850.0}, ""weighted avg"": {""precision"": 0.7056, ""recall"": 0.84, ""f1-score"": 0.7669565217391304, ""support"": 850.0}}"
None,xlm-roberta-base,GAHD (train),GAHD (test),0.7323431342831161,0.7291337207502899,0.7339122094335364,0.7296046468001036,0.7933025404157044,0.7235387045813586,0.7568163040484714,1899.0,0.6649649010848756,0.7442857142857143,0.7023929895517358,1400.0,0.7296046468001036,0.7337206264808964,"{""0"": {""precision"": 0.7933025404157044, ""recall"": 0.7235387045813586, ""f1-score"": 0.7568163040484714, ""support"": 1899.0}, ""1"": {""precision"": 0.6649649010848756, ""recall"": 0.7442857142857143, ""f1-score"": 0.7023929895517358, ""support"": 1400.0}, ""accuracy"": 0.7323431342831161, ""macro avg"": {""precision"": 0.7291337207502899, ""recall"": 0.7339122094335364, ""f1-score"": 0.7296046468001036, ""support"": 3299.0}, ""weighted avg"": {""precision"": 0.7388397653132005, ""recall"": 0.7323431342831161, ""f1-score"": 0.7337206264808964, ""support"": 3299.0}}"
None,xlm-roberta-base,GERMEVAL (full),HASOC (full),0.8138787748982651,0.6279859663942791,0.696384558595762,0.6470466908634634,0.9339195310418332,0.8494910324769753,0.8897068155857343,4126.0,0.3220524017467249,0.5432780847145487,0.4043865661411926,543.0,0.6470466908634634,0.8332645591178854,"{""0"": {""precision"": 0.9339195310418332, ""recall"": 0.8494910324769753, ""f1-score"": 0.8897068155857343, ""support"": 4126.0}, ""1"": {""precision"": 0.3220524017467249, ""recall"": 0.5432780847145487, ""f1-score"": 0.4043865661411926, ""support"": 543.0}, ""accuracy"": 0.8138787748982651, ""macro avg"": {""precision"": 0.6279859663942791, ""recall"": 0.696384558595762, ""f1-score"": 0.6470466908634634, ""support"": 4669.0}, ""weighted avg"": {""precision"": 0.8627599998344561, ""recall"": 0.8138787748982651, ""f1-score"": 0.8332645591178854, ""support"": 4669.0}}"
