Dataset,Strategy,N,Accuracy,Precision_macro,Recall_macro,F1_macro,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_Support,Class1_Precision,Class1_Recall,Class1_F1,Class1_Support
GERMEVAL,RANDOM_SUBSTITUTION,200,0.685,0.6190701446141371,0.6029686769518466,0.6072196764238287,0.6736388291405592,0.7483443708609272,0.8188405797101449,0.7820069204152249,138.0,0.4897959183673469,0.3870967741935484,0.43243243243243246,62.0
GERMEVAL,PER_ORG_LOC_GENERIC_ENTITY,200,0.685,0.6118269673262771,0.585203366058906,0.5881141512209473,0.6640247131509267,0.7358490566037735,0.8478260869565217,0.7878787878787878,138.0,0.4878048780487805,0.3225806451612903,0.3883495145631068,62.0
GERMEVAL,X_LENGTH,200,0.66,0.5920852359208524,0.5848527349228612,0.587178241864983,0.6530645944633316,0.7397260273972602,0.782608695652174,0.7605633802816901,138.0,0.4444444444444444,0.3870967741935484,0.41379310344827586,62.0
GERMEVAL,LOC_ONLY,200,0.67,0.5951439864483342,0.5787751285647499,0.5814307458143074,0.6545966514459665,0.7337662337662337,0.8188405797101449,0.773972602739726,138.0,0.45652173913043476,0.3387096774193548,0.3888888888888889,62.0
GERMEVAL,PER_ONLY,200,0.675,0.5964871912870072,0.5735156615240766,0.5750384099898663,0.6533588310287339,0.7295597484276729,0.8405797101449275,0.7811447811447811,138.0,0.4634146341463415,0.3064516129032258,0.36893203883495146,62.0
GERMEVAL,PER_ORG_LOC_TYPED,200,0.675,0.5964871912870072,0.5735156615240766,0.5750384099898663,0.6533588310287339,0.7295597484276729,0.8405797101449275,0.7811447811447811,138.0,0.4634146341463415,0.3064516129032258,0.36893203883495146,62.0
GERMEVAL,UNMASKED,200,0.665,0.5867383512544803,0.5707106124357176,0.5725814168607062,0.6481062805014194,0.7290322580645161,0.8188405797101449,0.7713310580204779,138.0,0.4444444444444444,0.3225806451612903,0.37383177570093457,62.0
GERMEVAL,ORG_ONLY,200,0.67,0.5901145268233876,0.5698924731182796,0.5712058212058212,0.6494178794178793,0.7278481012658228,0.8333333333333334,0.777027027027027,138.0,0.4523809523809524,0.3064516129032258,0.36538461538461536,62.0
HASOC,LOC_ONLY,200,0.765,0.5527940220922677,0.5742857142857143,0.557251189298667,0.7847133907964767,0.8950617283950617,0.8285714285714286,0.8605341246290801,175.0,0.21052631578947367,0.32,0.25396825396825395,25.0
HASOC,RANDOM_SUBSTITUTION,200,0.745,0.550990675990676,0.5800000000000001,0.5533955076842243,0.7727899645343491,0.8974358974358975,0.8,0.8459214501510574,175.0,0.20454545454545456,0.36,0.2608695652173913,25.0
HASOC,PER_ORG_LOC_TYPED,200,0.775,0.5487243090007087,0.562857142857143,0.552661663104528,0.7891918087380089,0.891566265060241,0.8457142857142858,0.8680351906158358,175.0,0.20588235294117646,0.28,0.23728813559322035,25.0
HASOC,PER_ORG_LOC_GENERIC_ENTITY,200,0.77,0.5454545454545454,0.56,0.5490196078431373,0.7857843137254903,0.8909090909090909,0.84,0.8647058823529412,175.0,0.2,0.28,0.23333333333333334,25.0
HASOC,PER_ONLY,200,0.75,0.5441018561129007,0.5657142857142857,0.5463618218109236,0.7743150063509345,0.8930817610062893,0.8114285714285714,0.8502994011976048,175.0,0.1951219512195122,0.32,0.24242424242424243,25.0
HASOC,X_LENGTH,200,0.72,0.5477036452164759,0.5828571428571429,0.5451591942820013,0.7566601689408706,0.8993288590604027,0.7657142857142857,0.8271604938271605,175.0,0.19607843137254902,0.4,0.2631578947368421,25.0
HASOC,UNMASKED,200,0.745,0.5414406268836649,0.5628571428571428,0.5428264084980503,0.7708417372596478,0.8924050632911392,0.8057142857142857,0.8468468468468469,175.0,0.19047619047619047,0.32,0.23880597014925373,25.0
HASOC,ORG_ONLY,200,0.735,0.5263713080168776,0.54,0.524898032360719,0.7618551387208105,0.8860759493670886,0.8,0.8408408408408409,175.0,0.16666666666666666,0.28,0.208955223880597,25.0
GAHD,PER_ONLY,200,0.53,0.4866666666666667,0.4897372742200329,0.4725620020199753,0.5004107283133206,0.5733333333333334,0.7413793103448276,0.6466165413533834,116.0,0.4,0.23809523809523808,0.29850746268656714,84.0
GAHD,PER_ORG_LOC_TYPED,200,0.525,0.4758030871923237,0.48214285714285715,0.46082465450211413,0.49058713357359734,0.5686274509803921,0.75,0.6468401486988847,116.0,0.3829787234042553,0.21428571428571427,0.2748091603053435,84.0
GAHD,LOC_ONLY,200,0.515,0.46815370443479404,0.47516420361247946,0.45772187281621246,0.48592033542976937,0.5637583892617449,0.7241379310344828,0.6339622641509434,116.0,0.37254901960784315,0.2261904761904762,0.2814814814814815,84.0
GAHD,UNMASKED,200,0.515,0.46815370443479404,0.47516420361247946,0.45772187281621246,0.48592033542976937,0.5637583892617449,0.7241379310344828,0.6339622641509434,116.0,0.37254901960784315,0.2261904761904762,0.2814814814814815,84.0
GAHD,RANDOM_SUBSTITUTION,200,0.515,0.46815370443479404,0.47516420361247946,0.45772187281621246,0.48592033542976937,0.5637583892617449,0.7241379310344828,0.6339622641509434,116.0,0.37254901960784315,0.2261904761904762,0.2814814814814815,84.0
GAHD,PER_ORG_LOC_GENERIC_ENTITY,200,0.525,0.47275985663082437,0.48050082101806235,0.45650619296890643,0.4873766412082726,0.567741935483871,0.7586206896551724,0.6494464944649446,116.0,0.37777777777777777,0.20238095238095238,0.26356589147286824,84.0
GAHD,X_LENGTH,200,0.5,0.45332318619989853,0.46223316912972084,0.4468414647638013,0.4742781281115168,0.5547945205479452,0.6982758620689655,0.6183206106870229,116.0,0.35185185185185186,0.2261904761904762,0.2753623188405797,84.0
GAHD,ORG_ONLY,200,0.51,0.45668859649122806,0.4675697865353038,0.4459520578923564,0.47609226594301224,0.5592105263157895,0.7327586206896551,0.6343283582089553,116.0,0.3541666666666667,0.20238095238095238,0.25757575757575757,84.0
